Official Episode,Official Title,Published Date,Chronology Rank,Source Status,Google Sites Page URL,Narrative Role,Key Content,Source Record,Issue / Snag,Required Action
1,We Can Rebuild Him - The Puzzle Begins,2025-03-12,1,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns,Campaign kickoff and puzzle introduction,Introduces the unidentified figure as a reconstruction puzzle; establishes Radical Rick's BMX Plus! history and invites the audience to follow.,"Google Sites overview screenshot, Facebook-post screenshot/transcription, and current public campaign root.",No material snag.,Publish in numbered sequence and chronological index.
2,A Different Angle,2025-03-12,2,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-2-rebuild-radical-rick-campaigns,Second-angle reveal and connection to current Radical Rick artwork,"Shows the underside/feet and discusses continuing Radical Rick art, hand-painted clipboards, related figures, and the Damian Fulton Fireside BMX Chat.",Google Sites episode screenshot and Facebook-post screenshot/transcription.,Same publication date as Episode 1; no time-of-day evidence was supplied.,Retain Episode 1 before Episode 2 as the same-day tie-break rule.
3,The Left Side,2025-03-13,3,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-3-rebuild-radical-rick-campaigns,Left-side documentation and character-history engagement,Documents the left side and notes that Radical Rick had no speaking lines in the comic series; links to the Fireside BMX Chat.,Google Sites episode screenshot and Facebook-post screenshot/transcription.,No material snag.,Publish as supplied.
4,The Other Side,2025-03-14,4,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-4-rebuild-radical-rick-campaigns,Right-side documentation and comic-lore clue,Documents the right side and references Rick's 'overproductive rad gland'; points followers to the campaign and Damian Fulton interview.,Google Sites episode screenshot and Facebook-post screenshot/transcription.,No material snag.,Publish as supplied.
5,Forward Facing,2025-03-15,5,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-5-rebuild-radical-rick-campaigns,Front-view documentation and preservation framing,Shows the front torso and frames the comics as a time capsule preserving BMX's early growth.,Google Sites episode screenshot and Facebook-post screenshot/transcription.,The original post attributes a preservation observation to Copilot; preserve that attribution in verbatim text.,Use neutral archival language in the normalized summary.
6,Showing Some Love,2025-03-16,6,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-6-rebuild-radical-rick-campaigns,Next-piece reveal,Introduces the separate raised-hand arm before attachment and uses the hand gesture as playful audience engagement.,Google Sites episode screenshot and Facebook-post screenshot/transcription.,No material snag.,Publish as supplied.
7,Two Pieces Joined,2025-03-17,7,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-7-rebuild-radical-rick-campaigns,First documented assembly milestone,Shows the arm attached to the torso and confirms that two components have been joined.,Google Sites episode screenshot and Facebook-post screenshot/transcription.,No material snag.,Publish as supplied.
8,Another Angle of the Build,2025-03-18,8,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-8-rebuild-radical-rick-campaigns,Build-progress view and Greg Hill connection,Shows the partially assembled figure and preserves Greg Hill's recollection of looking for the Radical Rick cartoon and wanting to race Rick.,Google Sites episode screenshot and Facebook-post screenshot/transcription.,Quoted Greg Hill wording should remain verbatim in the source-text section.,Publish normalized summary plus preserved quotation.
9,Introducing the Next Piece,2025-03-19,9,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-9-rebuild-radical-rick-campaigns,Head-piece reveal and giveaway announcement,"Introduces Rick's head, announces the giveaway of The Complete Episodes, explains eligibility/shipping, and links to Lititz BMX video and interview material.",Google Sites episode screenshot and Facebook-post screenshot/transcription.,Historical giveaway terms should be labeled closed/archived in any modern publication.,Preserve terms as historical record; do not present as active.
10,Looking for Color,2025-03-20,10,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-10-rebuild-radical-rick-campaigns,Color research and community engagement,Positions Rick's detached head against a tattoo collage and asks the audience to identify a favorite Radical Rick tattoo.,Google Sites episode screenshot and supplied page text.,The supplied page text is a shortened display version; the Facebook screenshot contains additional context about the giveaway and Rick's black-and-white origins.,Archive both the page display text and full Facebook-post transcription.
11,Learning the Past,2025-03-23,13,Verified,https://sites.google.com/view/lititzbmxinventorylist/campaigns/rebuild-radical-rick-campaigns/episode-11-rebuild-radical-rick-campaigns,"Creator history, anxiety, and mental-health connection",Uses Damian Fulton's discussion of anxiety to connect the campaign with Lititz BMX's mental-health conversations and the 988 Suicide & Crisis Lifeline.,Google Sites episode screenshot and Facebook-post screenshot/transcription.,Numbered before Episodes 12 and 13 but published after both.,Preserve Episode 11 numbering; place 13th in the chronological index.
