record_id,artifact_id,legacy_ids,title,slug,record_path,room_zone_id,room_zone_label,record_type,holding_status,image_status,primary_image,source_page_count,source_pages,claim_status,people,organizations,subjects,related_records,cross_collection_path
HLR-26.0067,26.0067,"[""67""]",1994 ABA Vet Pro Title Trophy,26-0067-1994-aba-vet-pro-title-trophy,records/26-0067-1994-aba-vet-pro-title-trophy/,trophy-case,The Trophy Case,trophy,current-holding-as-presented,direct,source/artifact-images/26-0067-1994-aba-vet-pro-title-trophy.png,1,[1],collection-attributed,"[""Harry Leary""]","[""American Bicycle Association (ABA)""]","[""1994"", ""Vet Pro"", ""championship"", ""trophy""]","[""26.0037"", ""26.0028"", ""26.0033""]",
HLR-26.0037,26.0037,[],Cactus Park BMX State Qualifier “1st” Place Radical Rick Plaque,26-0037-cactus-park-state-qualifier-radical-rick-plaque,records/26-0037-cactus-park-state-qualifier-radical-rick-plaque/,trophy-case,The Trophy Case,plaque,current-holding-as-presented,direct,source/artifact-images/26-0037-cactus-park-state-qualifier-radical-rick-plaque.png,1,[1],source-supported,"[""Harry Leary""]","[""Cactus Park BMX"", ""Radical Rick""]","[""2018"", ""state qualifier"", ""first place"", ""Radical Rick"", ""Leary Locker""]","[""26.0067"", ""26.0053"", ""26.0013""]",
HLR-26.0048,26.0048,[],The F-1 Challenge Trophy,26-0048-f1-challenge-trophy,records/26-0048-f1-challenge-trophy/,trophy-case,The Trophy Case,trophy,current-holding-as-presented,direct,source/artifact-images/26-0048-f1-challenge-trophy-page-1.png,2,"[1, 2]",collection-attributed,"[""Harry Leary""]","[""F-1 Challenge""]","[""1986"", ""F1 racing"", ""F-1 racing"", ""title trophy""]","[""26.0067"", ""26.0033"", ""26.0028""]",
HLR-26.0033,26.0033,[],Supercross of BMX “Top Money Winner” Plaque,26-0033-supercross-of-bmx-top-money-winner-plaque,records/26-0033-supercross-of-bmx-top-money-winner-plaque/,trophy-case,The Trophy Case,plaque,current-holding-as-presented,direct,source/artifact-images/26-0033-supercross-of-bmx-top-money-winner-plaque.png,1,[2],inscription-supported,"[""Harry Leary""]","[""Supercross of BMX"", ""North Carolina State Fairgrounds""]","[""1985"", ""top money winner"", ""plaque"", ""Raleigh North Carolina""]","[""26.0048"", ""26.0067"", ""26.0034""]",
HLR-26.0028,26.0028,[],2000 ABA Third-Place Plaque,26-0028-2000-aba-third-place-vet-pro-plaque,records/26-0028-2000-aba-third-place-vet-pro-plaque/,trophy-case,The Trophy Case,plaque,current-holding-as-presented,direct,source/artifact-images/26-0028-2000-aba-third-place-vet-pro-plaque.png,1,[1],inscription-supported,"[""Harry Leary""]","[""American Bicycle Association (ABA)""]","[""2000"", ""Vet Pro"", ""National number three"", ""plaque""]","[""26.0067"", ""26.0037"", ""26.0013""]",
HLR-26.0053,26.0053,[],Race Against Drugs “Harry Leary” Plaque,26-0053-race-against-drugs-harry-leary-plaque,records/26-0053-race-against-drugs-harry-leary-plaque/,trophy-case,The Trophy Case,plaque,current-holding-as-presented,direct,source/artifact-images/26-0053-race-against-drugs-harry-leary-plaque.png,1,[1],inscription-supported,"[""Harry Leary""]","[""RAD — Race Against Drugs"", ""OASIS"", ""Nabisco Brands""]","[""1989"", ""drug-free advocacy"", ""public service"", ""plaque""]","[""26.0037"", ""26.0036"", ""26.0065""]",
HLR-26.0034,26.0034,[],2003 World 4-Stroke MX Championship Second-Place Award,26-0034-2003-world-4-stroke-mx-championship-second-place-award,records/26-0034-2003-world-4-stroke-mx-championship-second-place-award/,trophy-case,The Trophy Case,award,current-holding-as-presented,direct,source/artifact-images/26-0034-2003-world-4-stroke-mx-championship-second-place-award.png,1,[2],inscription-supported,"[""Harry Leary""]","[""White Bros."", ""World 4-Stroke MX Championship""]","[""2003"", ""motocross"", ""second place"", ""award""]","[""26.0039"", ""26.0033"", ""26.0067""]",
HLR-26.0013,26.0013,[],"2015 California State Qualifier, South Lake Tahoe, Third-Place Tin",26-0013-2015-california-state-qualifier-third-place-tin,records/26-0013-2015-california-state-qualifier-third-place-tin/,trophy-case,The Trophy Case,award,current-holding-as-presented,direct,source/artifact-images/26-0013-2015-california-state-qualifier-third-place-tin.png,1,[2],mixed-source,"[""Harry Leary""]","[""South Lake Tahoe BMX""]","[""2015"", ""California State Qualifier"", ""third place"", ""award tin""]","[""26.0028"", ""26.0037"", ""26.0050""]",
HLR-26.0030,26.0030,[],Harry Leary’s 2017 UCI Worlds Championship Helmet,26-0030-harry-leary-2017-uci-worlds-championship-helmet,records/26-0030-harry-leary-2017-uci-worlds-championship-helmet/,riders-wardrobe,The Rider’s Wardrobe,helmet,current-holding-as-presented,direct,source/artifact-images/26-0030-harry-leary-2017-uci-worlds-championship-helmet.png,1,[1],visual-comparison-attribution,"[""Harry Leary"", ""Greg Mathias""]","[""UCI"", ""Fly Racing""]","[""2017"", ""UCI Worlds"", ""helmet"", ""visual comparison""]","[""26.0062"", ""26.0040"", ""26.0050""]",
HLR-26.0062,26.0062,[],Harry Leary “Harry” DIRTWERX Helmet,26-0062-harry-leary-dirtwerx-helmet,records/26-0062-harry-leary-dirtwerx-helmet/,riders-wardrobe,The Rider’s Wardrobe,helmet,current-holding-as-presented,direct,source/artifact-images/26-0062-harry-leary-dirtwerx-helmet.png,1,[2],collection-attributed,"[""Harry Leary""]","[""DIRTWERX""]","[""helmet"", ""DIRTWERX"", ""personal gear""]","[""26.0063"", ""26.0036"", ""26.0030""]",
HLR-26.0018,26.0018,[],Harry Leary “Leary 81” Redman Jersey,26-0018-harry-leary-leary-81-redman-jersey,records/26-0018-harry-leary-leary-81-redman-jersey/,riders-wardrobe,The Rider’s Wardrobe,jersey,current-holding-as-presented,direct,source/artifact-images/26-0018-harry-leary-leary-81-redman-jersey.png,1,[1],collection-attributed,"[""Harry Leary""]","[""Redman""]","[""jersey"", ""81"", ""team identity"", ""Leary Locker""]","[""26.0021"", ""26.0023"", ""26.0025""]",../../../jersey-collection/records/26-0018-harry-leary-leary-81-redman-jersey/
HLR-26.0021,26.0021,[],Harry Leary Thrill ROC 1 Jersey,26-0021-harry-leary-thrill-roc-1-jersey,records/26-0021-harry-leary-thrill-roc-1-jersey/,riders-wardrobe,The Rider’s Wardrobe,jersey,current-holding-as-presented,direct,source/artifact-images/26-0021-harry-leary-thrill-roc-1-jersey.png,1,[1],source-supported,"[""Harry Leary""]","[""Thrill"", ""Box Components""]","[""jersey"", ""ROC 1"", ""Race of Champions"", ""Leary Locker""]","[""26.0023"", ""26.0018"", ""26.0075""]",../../../jersey-collection/records/26-0021-leary-thrill-roc-1-jersey/
HLR-26.0023,26.0023,[],Harry Leary BIOLAB / Peak Performance ROC 1 Jersey,26-0023-harry-leary-biolab-peak-performance-roc-1-jersey,records/26-0023-harry-leary-biolab-peak-performance-roc-1-jersey/,riders-wardrobe,The Rider’s Wardrobe,jersey,current-holding-as-presented,direct,source/artifact-images/26-0023-harry-leary-biolab-peak-performance-roc-1-jersey.png,1,[1],source-supported,"[""Harry Leary""]","[""BIOLAB Sciences"", ""Peak Performance"", ""Box Components"", ""Zeronine""]","[""jersey"", ""ROC 1"", ""NAG 1"", ""Leary Locker""]","[""26.0021"", ""26.0075"", ""26.0018""]",../../../jersey-collection/records/26-0023-harry-leary-leary-biolab-roc-1-jersey/
HLR-26.0025,26.0025,[],Harry Leary Fasthouse “4” Jersey,26-0025-harry-leary-fasthouse-4-jersey,records/26-0025-harry-leary-fasthouse-4-jersey/,riders-wardrobe,The Rider’s Wardrobe,jersey,current-holding-as-presented,direct,source/artifact-images/26-0025-harry-leary-fasthouse-4-jersey.png,1,[2],source-supported,"[""Harry Leary""]","[""Fasthouse Speed Shop""]","[""jersey"", ""4"", ""team identity"", ""Leary Locker""]","[""26.0075"", ""26.0063"", ""26.0018""]",../../../jersey-collection/records/26-0025-leary-fasthouse-4-jersey/
HLR-26.0063,26.0063,[],Harry Leary DIRTWERX Jersey,26-0063-harry-leary-dirtwerx-jersey,records/26-0063-harry-leary-dirtwerx-jersey/,riders-wardrobe,The Rider’s Wardrobe,jersey,current-holding-as-presented,direct,source/artifact-images/26-0063-harry-leary-dirtwerx-jersey.png,1,[2],source-supported,"[""Harry Leary""]","[""DIRTWERX""]","[""jersey"", ""DIRTWERX"", ""Leary Locker""]","[""26.0062"", ""26.0036"", ""26.0025""]",../../../jersey-collection/records/26-0063-harry-leary-dirtwerx-jersey/
HLR-26.0039,26.0039,[],Harry Leary’s Honda Jersey,26-0039-harry-leary-honda-jersey,records/26-0039-harry-leary-honda-jersey/,riders-wardrobe,The Rider’s Wardrobe,jersey,current-holding-as-presented,direct,source/artifact-images/26-0039-harry-leary-honda-jersey.png,1,[1],collection-attributed,"[""Harry Leary""]","[""Honda"", ""Fox Racing""]","[""jersey"", ""Honda"", ""motorcycles"", ""ATVs""]","[""26.0034"", ""26.0030"", ""26.0064""]",
HLR-26.0064,26.0064,[],Tangent Beanie — “Smells Like Harry”,26-0064-tangent-beanie-smells-like-harry,records/26-0064-tangent-beanie-smells-like-harry/,riders-wardrobe,The Rider’s Wardrobe,beanie,current-holding-as-presented,direct,source/artifact-images/26-0064-tangent-beanie-smells-like-harry.png,1,[2],collection-attributed,"[""Harry Leary""]","[""Tangent""]","[""beanie"", ""personal object"", ""sensory memory""]","[""26.0039"", ""26.0040"", ""26.0062""]",
HLR-26.0040,26.0040,[],Harry Leary GT Judge Lanyard,26-0040-harry-leary-gt-judge-lanyard,records/26-0040-harry-leary-gt-judge-lanyard/,riders-wardrobe,The Rider’s Wardrobe,credential,current-holding-as-presented,direct,source/artifact-images/26-0040-harry-leary-gt-judge-lanyard.png,1,[2],inscription-supported,"[""Harry Leary""]","[""Gary Turner BMX""]","[""judge"", ""credential"", ""lanyard"", ""age-group classes""]","[""26.0050"", ""26.0030"", ""26.0064""]",
HLR-26.0050,26.0050,[],Harry Leary Fall Risk Racing 2023 Number-Plate Decal,26-0050-harry-leary-fall-risk-racing-2023-number-plate-decal,records/26-0050-harry-leary-fall-risk-racing-2023-number-plate-decal/,riders-wardrobe,The Rider’s Wardrobe,number-plate decal,current-holding-as-presented,direct,source/artifact-images/26-0050-harry-leary-fall-risk-racing-2023-number-plate-decal.png,1,[2],mixed-source,"[""Harry Leary""]","[""Fall Risk Racing""]","[""2023"", ""number plate"", ""race identity"", ""Fall Risk Racing""]","[""26.0040"", ""26.0013"", ""26.0030""]",
