source_id,source_type,artifact_id,source_label,path_or_url,note
SRC-GS-A,live-collection-page,MULTIPLE,Original LititzBMX.com collection source A,https://sites.google.com/view/lititzbmxinventorylist/collections/the-harry-leary-collection-1,Original source page; integrated publicly into Harry’s Room.
SRC-GS-B,live-collection-page,MULTIPLE,Original LititzBMX.com collection source B,https://sites.google.com/view/lititzbmxinventorylist/collections/the-harry-leary-collection-1/harry-leary-collection-2,Original source page; integrated publicly into Harry’s Room.
IMG-001,primary-record-image,26.0067,unnamed - 2026-07-23T101855.250.png,source/artifact-images/26-0067-1994-aba-vet-pro-title-trophy.png,Direct image supplied for the record.
IMG-002,primary-record-image,26.0037,unnamed - 2026-07-23T101845.840.png,source/artifact-images/26-0037-cactus-park-state-qualifier-radical-rick-plaque.png,Direct image supplied for the record.
IMG-003,primary-record-image,26.0048,unnamed - 2026-07-23T101928.970.png,source/artifact-images/26-0048-f1-challenge-trophy-page-1.png,Direct image supplied for the record.
IMG-004,secondary-source-image,26.0048,unnamed - 2026-07-23T103600.576.png,source/artifact-images/26-0048-f1-challenge-trophy-page-2.png,Second supplied source presentation of the same accession on the later Google Sites collection page.
IMG-005,primary-record-image,26.0033,unnamed - 2026-07-23T103614.067.png,source/artifact-images/26-0033-supercross-of-bmx-top-money-winner-plaque.png,Direct image supplied for the record.
IMG-006,primary-record-image,26.0028,unnamed - 2026-07-23T101933.543.png,source/artifact-images/26-0028-2000-aba-third-place-vet-pro-plaque.png,Direct image supplied for the record.
IMG-007,primary-record-image,26.0053,unnamed - 2026-07-23T101937.655.png,source/artifact-images/26-0053-race-against-drugs-harry-leary-plaque.png,Direct image supplied for the record.
IMG-008,primary-record-image,26.0034,unnamed - 2026-07-23T103634.392.png,source/artifact-images/26-0034-2003-world-4-stroke-mx-championship-second-place-award.png,Direct image supplied for the record.
IMG-009,primary-record-image,26.0013,unnamed - 2026-07-23T103638.623.png,source/artifact-images/26-0013-2015-california-state-qualifier-third-place-tin.png,Direct image supplied for the record.
IMG-010,primary-record-image,26.0030,unnamed - 2026-07-23T101859.963.png,source/artifact-images/26-0030-harry-leary-2017-uci-worlds-championship-helmet.png,Direct image supplied for the record.
IMG-011,primary-record-image,26.0062,unnamed - 2026-07-23T103626.799.png,source/artifact-images/26-0062-harry-leary-dirtwerx-helmet.png,Direct image supplied for the record.
IMG-012,primary-record-image,26.0018,unnamed - 2026-07-23T101905.434.png,source/artifact-images/26-0018-harry-leary-leary-81-redman-jersey.png,Direct image supplied for the record.
IMG-013,primary-record-image,26.0021,unnamed - 2026-07-23T101908.839.png,source/artifact-images/26-0021-harry-leary-thrill-roc-1-jersey.png,Direct image supplied for the record.
IMG-014,primary-record-image,26.0023,unnamed - 2026-07-23T101924.462.png,source/artifact-images/26-0023-harry-leary-biolab-peak-performance-roc-1-jersey.png,Direct image supplied for the record.
IMG-015,primary-record-image,26.0025,unnamed - 2026-07-23T103619.623.png,source/artifact-images/26-0025-harry-leary-fasthouse-4-jersey.png,Direct image supplied for the record.
IMG-016,primary-record-image,26.0063,unnamed - 2026-07-23T103623.023.png,source/artifact-images/26-0063-harry-leary-dirtwerx-jersey.png,Direct image supplied for the record.
IMG-017,primary-record-image,26.0039,unnamed - 2026-07-23T103129.358.png,source/artifact-images/26-0039-harry-leary-honda-jersey.png,Direct image supplied for the record.
IMG-018,primary-record-image,26.0064,unnamed - 2026-07-23T103630.348.png,source/artifact-images/26-0064-tangent-beanie-smells-like-harry.png,Direct image supplied for the record.
IMG-019,primary-record-image,26.0040,unnamed - 2026-07-23T103610.520.png,source/artifact-images/26-0040-harry-leary-gt-judge-lanyard.png,Direct image supplied for the record.
IMG-020,primary-record-image,26.0050,unnamed - 2026-07-23T103555.756.png,source/artifact-images/26-0050-harry-leary-fall-risk-racing-2023-number-plate-decal.png,Direct image supplied for the record.
IMG-021,primary-record-image,26.0075,unnamed - 2026-07-23T103642.270.png,source/artifact-images/26-0075-biolab-leary-4-zeronine-jersey.png,Direct image supplied for the record.
IMG-022,primary-record-image,26.0076,unnamed - 2026-07-23T103646.940.png,source/artifact-images/26-0076-biolab-harry-zeronine-pants-context.png,Context image only; the artifact itself is not directly pictured.
IMG-023,primary-record-image,26.0046,unnamed - 2026-07-23T103059.592.png,source/artifact-images/26-0046-harry-leary-toolbox.png,Direct image supplied for the record.
IMG-024,primary-record-image,26.0038,unnamed - 2026-07-23T103125.208.png,source/artifact-images/26-0038-harry-leary-specialized-hemi-frame-jeremy-mcgrath-signatures.png,Direct image supplied for the record.
IMG-025,primary-record-image,26.0052,unnamed - 2026-07-23T103551.160.png,source/artifact-images/26-0052-damaged-daylight-hlt4-frame-last-hlt4.png,Direct image supplied for the record.
IMG-026,primary-record-image,26.0045,unnamed - 2026-07-23T103604.176.png,source/artifact-images/26-0045-ghp-cruiser-bars-with-15-plate.png,Direct image supplied for the record.
IMG-027,primary-record-image,26.0036,unnamed - 2026-07-23T103106.504.png,source/artifact-images/26-0036-dottie-ellis-merki-letter-and-dirtwerx-decal.png,Direct image supplied for the record.
IMG-028,primary-record-image,26.0065,unnamed - 2026-07-23T103114.599.png,source/artifact-images/26-0065-harry-leary-eddy-king-nora-cup-photograph.png,Direct image supplied for the record.
IMG-029,primary-record-image,26.0051,unnamed - 2026-07-23T103118.868.png,source/artifact-images/26-0051-linda-and-harry-leary-signed-copy.png,Direct image supplied for the record.
IMG-030,physical-room-hero,COLLECTION,unnamed (1).jpg,source/photographs/physical-harrys-room.jpg,User-supplied photograph of the physical Harry Leary display area.
IMG-031,source-page-capture,SOURCE-PAGE-1,2026-07-23_10-20-38.png,source/google-sites/google-sites-page-1-overview.png,Original Google Sites Page 1 overview capture.
IMG-032,source-page-capture,SOURCE-PAGE-1,2026-07-23_10-20-58.png,source/google-sites/google-sites-page-1-artifact-grid-upper.png,Original Google Sites Page 1 upper artifact grid capture.
IMG-033,source-page-capture,SOURCE-PAGE-1,2026-07-23_10-21-28.png,source/google-sites/google-sites-page-1-artifact-grid-lower.png,Original Google Sites Page 1 lower artifact grid capture.
