Record ID,Sequence,Record Type,Published Element,Published Options,Verified Answer,Evidence,Verification Status,Issue / Note,Live URL,Archived File,Source Page
1983-QUIZ,00,Quiz,BMX History Quiz: 1983,,,Standalone quiz image and full live-page capture,Source preserved,Question 4 is a compound statement with one contradicted clause.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,quiz/1983-quiz-transcription.md,Live learning page
1983-Q01,01,Question,A two page article was written in BMXA calling a trick the ______ but it became “The Leary.”,,Judge,Article says BMXA ran a two-page how-to spread calling the radical click-out a “Judge.”,Verified directly,"Full controversy also includes Leary, Medrano, and Utterback.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 pp. 44–45
1983-Q02,02,Question,________ “proceeded to destroy the amateur classes” but didn’t turn pro this year.,A. George Seevers | B. Mike Poulson | C. Richie Anderson | D. Gary Ellis,C. Richie Anderson,Terrible Ten section states Richie Anderson proceeded to DESTROY the amateur classes.,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 44
1983-Q03,03,Question,________ waited until the last race of ’83 to turn pro.,A. Eric Rupe | B. Greg Grubbs | C. Gary Ellis | D. Anthony Sewell,C. Gary Ellis,Article says Gary Ellis waited until the last race of ’83—the World Championships—to turn pro.,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 44
1983-Q04,04,Question,"T/F - Greg Hill won his first NORA Cup while riding for Hutch, then launched GHP in October ’83, and became a dad in December.",True | False,False,Article states Greg Hill was riding for GT. GHP launch and December fatherhood are supported.,Verified directly,False because of the Hutch clause; do not discard the two supported clauses.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 45
1983-Q05,05,Question,$________ was up for grabs in the ESPN series.,,"$15,000","Article says $15,000 was up for grabs at the seventh and final ESPN-series race.",Verified directly,"The first six races offered $5,000 each.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 45
1983-EC01,06,Extra Credit,________ broke his wrist at the ESPN finals but still raced with it.,,Brian Patterson,Final standings note says Brian Patterson broke his wrist at the finals and still raced with it broken.,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 45
1983-EC02,07,Extra Extra Credit,The ______ ten came out.,,Original,Source heading reads “THE ORIGINAL TERRIBLE TEN.”,Verified directly,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 44
1983-SRC01,08,Supporting Article,1983 retrospective feature,,,Supplied complete two-page magazine spread.,Visible source transcribed,Printed pages 44–45.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,article/1983-source-article-transcription.md,"BMX Action, Dec. 1986, pp. 44–45"
1983-CAP01,09,Page Capture,Live Google Sites learning-resource page,,,Supplied full-page screenshot.,Source preserved,"Capture includes quiz, both source-page images, and navigation to 1982 and 1984.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,page-captures/page-001-1983-learning-resource.png,Google Sites
