Record ID,Quiz,Sequence,Record Type,Published Element,Published Options,Source-Supported Response,Verification Status,Evidence,Issue / Note,Live URL,Archived File,Source Page
ED-Q01,Early Days,1,Question,______ is credited as the first “kid” to organize races by himself.,A. Scot Breithaupt | B. Byron Friday | C. Doug Takahashi | D. Jeff Botemma,A. Scot Breithaupt,Verified,Tracks section: Scot Breithaupt was the first “kid” to put on races all by himself.,Source uses Scot with one t.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/early-days-bmx-history-quiz,early-days/QUESTION-LEDGER.csv,Supplied supporting article source
ED-Q02,Early Days,2,Question,Larry Huffman’s influence in BMX was,,,Unresolved,Larry Huffman is not mentioned in the supplied article scan.,Do not invent or silently supply an answer.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/early-days-bmx-history-quiz,early-days/QUESTION-LEDGER.csv,Supplied supporting article source
ED-Q03,Early Days,3,Question,Which item was noted by BMX Action as “one of the biggest piles of junk ever made”?,A. JAD | B. BMX Products | C. Kastan KEX w/ strut | D. Yamaha Dual-Shocker,,Unresolved,The quoted phrase does not appear in the supplied article scan.,"The Frames section discusses mono-shocks, but that is not sufficient to assign an option.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/early-days-bmx-history-quiz,early-days/QUESTION-LEDGER.csv,Supplied supporting article source
ED-Q04,Early Days,4,Question,The 1974 Yamaha Gold Cup was held at:,A. Jack Murphy | B. Sunol | C. L.A. Coliseum | D. Candlestick,,Unresolved,The supplied article mentions Yamaha Gold Cups but does not state the event location.,No answer key was supplied.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/early-days-bmx-history-quiz,early-days/QUESTION-LEDGER.csv,Supplied supporting article source
ED-Q05,Early Days,5,Question,Term for a long surgical tube stretched in front of riders and released to start the race.,A. Tube/Strap Start | B. Rubber Band Start | C. Snap Start | D. Snap-Go,B. Rubber Band Start,Prompt-supported inference,The question’s own description directly defines a rubber-band start; the supplied article does not independently confirm the terminology.,Distinguished from article-verified answers.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/early-days-bmx-history-quiz,early-days/QUESTION-LEDGER.csv,Supplied supporting article source
ED-EX01,Early Days,6,Extra Credit,What did Ron Haase do at Palms Park around 1972 (according to some)?,,He reportedly jumped/passed over another rider and landed in front of him.,Verified,Riders section describes Haase passing over the rider rather than to either side.,"The article presents this as an attributed story, not independently established fact.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/early-days-bmx-history-quiz,early-days/QUESTION-LEDGER.csv,Supplied supporting article source
77-Q01,1977,1,Question,______ claims to have invented the no-hander/no-footer in 1977.,A. Steve Ruiz | B. Scott Clark | C. Stu Thomsen | D. Dennis Dain,C. Stu Thomsen,Verified,Article callout: Stu claims to have invented the no-hander/no-footer in 1977.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1977-bmx-history-quiz,1977/QUESTION-LEDGER.csv,Supplied supporting article source
77-Q02,1977,2,Question,__________________ O’Hare <nickname>,,Dirt Clod,Verified,Article refers to “Dirt Clod” O’Hare.,Published placeholder <nickname> is preserved.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1977-bmx-history-quiz,1977/QUESTION-LEDGER.csv,Supplied supporting article source
77-Q03,1977,3,Question,__________________ was known as the “Corona Kid”?,A. Brian Curnell | B. Coy Hudson | C. Kevin McNeal | D. Neil Bonds,C. Kevin McNeal,Verified,Article identifies Kevin McNeal as the man to beat at Corona and names the “Corona Kid” collection.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1977-bmx-history-quiz,1977/QUESTION-LEDGER.csv,Supplied supporting article source
77-Q04,1977,4,Question,“Get Narly” was:,A. A game of hide-n-seek | B. Losing your grip while mid-jump | C. Catching “big air” | D. Going lake jumping,A. A game of hide-n-seek,Verified,Article: The whole method was to “get Narly”—just a simple game of hide ’n seek.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1977-bmx-history-quiz,1977/QUESTION-LEDGER.csv,Supplied supporting article source
77-Q05,1977,5,Question,Who was known as the “Perfector of the Table Top”?,A. David Clinton | B. Ted Guilmette | C. Harry Leary | D. Donny Jones,D. Donny Jones,Verified,"Article says Buildin Leapin’ Jones, a.k.a. Donny Jones, was best known as the perfector of the table-top.",,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1977-bmx-history-quiz,1977/QUESTION-LEDGER.csv,Supplied supporting article source
