Image ID,Quiz,Original Supplied Filename,Stable Archive Filename,Role,Width px,Height px,SHA-256,Alt Text / Description,Notes
IMG-ED-001,Early Days,2026-07-19_17-10-52.png,early-days/page-captures/page-001-early-days-live-resource.png,Live resource page capture,851,1705,2bc4482d5d66e8d3ee99146aa03d61f0ea75a5ff65266f5eebb8f0dddb6eb744,Lititz BMX Early Days history quiz page showing the published quiz followed by the supporting Early Days article.,Primary supplied live-page capture.
IMG-ED-002,Early Days,unnamed (77).png,early-days/source-images/source-001-early-days-quiz-master.png,Quiz master image,857,1080,42c7bcd117c1e61406e20dc836e91768efc3ed5739c480cccb1f77f1d0092412,BMX History Quiz: The Early Days with five questions and one extra-credit question.,Standalone supplied quiz image.
IMG-ED-003,Early Days,2026-07-19_17-10-28.png,early-days/source-images/source-002-early-days-article-scan.png,Supporting article scan,783,1013,45d7497e71d43815a4773bef238ba4d095b81ad1f5211b266691e0c97530b05e,"Scanned BMX history article titled The Early Days with sections on frames, riders, and tracks.",Article ends mid-sentence at the bottom of the supplied scan.
IMG-ED-004,Early Days,2026-07-19_17-11-11.png,early-days/source-images/source-003-early-days-quiz-and-article-composite.png,Composite source image,587,1512,13a9dc6debe6d19df2703006c15ccaa4e0ddec057d7175989743c65526f9b692,Composite image containing the Early Days BMX history quiz and its supporting article.,Preserved as supplied even though it overlaps other records.
IMG-77-001,1977,2026-07-19_17-21-13.png,1977/page-captures/page-001-1977-live-resource.png,Live resource page capture,918,1409,f6c4c0b08fbd35e6495c2f8fd25e2d82ad5f6e615df2a2b67f215f3ad186723c,"Lititz BMX 1977 history quiz page showing the quiz, supporting two-page article, and navigation links.",Primary supplied live-page capture.
IMG-77-002,1977,unnamed (78).png,1977/source-images/source-001-1977-quiz-master.png,Quiz master image,861,1080,660a71a490ef35cca8c3e4af5644375a5ffe552e6d76af41e094ad33ee2ea0bb,BMX History Quiz: 1977 with five questions and one extra-credit question.,Standalone supplied quiz image.
IMG-77-003,1977,2026-07-19_17-21-57.png,1977/source-images/source-002-1977-bmx-action-article-spread.png,Supporting article spread,1810,1188,6705913ac28ac65ae305264578478e4177d327c73bbf9e7d0a6eae3f244a3607,"Two-page BMX Action retrospective about 1977 covering pro racing, downhill tracks, FMF, Speedo forks, Donny Jones, Charlie Narly, and JT gear.","BMX Action, December 1986, pages 30–31."
IMG-1978-001,1978,2026-07-19_17-45-50.png,1978/source-images/source-001-1978-bmx-action-spread.png,Supporting source image,1787,1197,542a9884876e83d6cabede99342a0d21b0ea5ace0a4b71665be1444070a06a8c,"Two-page BMX Action retrospective spread; December 1986, pp. 32–33.","Two-page BMX Action retrospective spread; December 1986, pp. 32–33."
IMG-1978-002,1978,unnamed (79).png,1978/source-images/source-002-1978-quiz.png,Standalone quiz image,864,1080,bd6017ced6501674e9cb9a5df0e79d78bd19c9b92cc7c08f945d9bc608b37ab1,Published 1978 quiz image.,Published 1978 quiz image.
IMG-1978-003,1978,2026-07-19_17-45-18.png,1978/page-captures/page-001-1978-learning-resource.png,Live-page capture,913,1499,37f47e2a8c897e0e3b070300173937d0716ca98868b12ae8eae633135fae4020,"Google Sites page showing quiz, source article images, and navigation.","Google Sites page showing quiz, source article images, and navigation."
IMG-1979-001,1979,2026-07-19_17-59-28.png,1979/source-images/source-001-1979-bmx-action-spread.png,Supporting source image,1805,1192,847ffcc61279680b68e139e491f6882cba4283fb9b6cf41a40acbbf59a802db6,"Two-page BMX Action retrospective spread; December 1986, pp. 34–35.","Two-page BMX Action retrospective spread; December 1986, pp. 34–35."
IMG-1979-002,1979,unnamed (80).png,1979/source-images/source-002-1979-quiz.png,Standalone quiz image,864,1080,750388460fd9ed2951ab686e687dd064b8546557a2d56d09631501f74aebbd51,Published 1979 quiz image.,Published 1979 quiz image.
