Position,Official Term,Category,Destination Page Title,Destination URL,Grid Status,Match Count,All Verified Matches,Content Classification,Profile Markdown,Page Capture,Source Image,Record Status,Verification Note
1,NORA,Award / concept,BMX NORA Cup Award – BMX Action Reader Poll Trophy,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/nora-word-search,Multiple matches (2),2,R7C14-R4C14 (up); R9C12-R9C15 (right),Factual educational profile,profiles/01-nora.md,page-captures/page-001-nora-profile.png,source-images/source-001-nora-greg-hill-trophies.png,Complete,The published grid contains NORA twice. No intended occurrence is selected without an official answer key. The separate published term CUP is retained as a known exception and is likely conceptually associated with NORA Cup.
2,Encinas,Rider,"Bobby Encinas – BMX Pioneer, Promoter & Cultural Ambassador",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/encinas-word-search,Verified unique,1,R2C16-R8C16 (down),Factual rider profile,profiles/02-encinas.md,page-captures/page-002-encinas-profile.png,source-images/source-002-bobby-encinas-racing.png,Complete,No special exception identified in the supplied source set.
3,Thomsen,Rider,Stu Thomsen – “The Man” & Early BMX Dominator,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/thomsen-word-search,Verified unique,1,R10C16-R16C16 (down),Factual rider profile,profiles/03-thomsen.md,page-captures/page-003-thomsen-profile.png,source-images/source-003-stu-thomsen-bike-team.png,Complete,The image supports the page’s later public-service discussion. The archive does not identify individuals from appearance alone.
4,Patterson,Brand / manufacturer,Patterson BMX – Race Heritage & Modern Revival,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/patterson-word-search,Verified unique,1,R11C13-R19C13 (down),Factual brand profile,profiles/04-patterson.md,page-captures/page-004-patterson-profile.png,source-images/source-004-patterson-2025-parts.png,Complete,The page text emphasizes frame sets while the image shows related 2025 Patterson components. Both are preserved without forcing them to match.
5,Hill,Rider,Greg Hill – BMX Racing Icon & NORA Cup Champion,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/hill-word-search,Verified unique,1,R15C2-R18C5 (down-right),Factual rider profile,profiles/05-hill.md,page-captures/page-005-hill-profile.png,source-images/source-005-greg-hill-bmx-portrait.png,Complete,No special exception identified in the supplied source set.
6,Miranda,Rider / creative entry,The Brothers Who Rode Beyond BMX,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/miranda-word-search,Verified unique,1,R16C15-R10C15 (up),Fictional alternate history,profiles/06-miranda.md,page-captures/page-006-miranda-profile.png,source-images/source-006-mike-miranda-hutch-factory-team.png,Complete,This record must remain prominently classified as fictional alternate history. Its invented relationships and later-life claims must not be reused as factual biography.
7,Brackens,Rider,Tommy Brackens – “The Human Dragster”,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/brackens-word-search,Verified unique,1,R11C12-R18C12 (down),Factual rider profile,profiles/07-brackens.md,page-captures/page-007-brackens-profile.png,source-images/source-007-tommy-brackens-gt-advertisement.png,Complete,No special exception identified in the supplied source set.
8,Loncarevich,Rider,Pete “Pistol Pete” Loncarevich – BMX Champion & Industry Innovator,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/loncarevich-word-search,Verified unique,1,R8C6-R18C6 (down),Factual rider profile,profiles/08-loncarevich.md,page-captures/page-008-loncarevich-profile.png,source-images/source-008-pete-loncarevich-haro-advertisement.png,Complete,No special exception identified in the supplied source set.
9,Ellis,Rider,Gary Ellis – BMX Champion & GT Racing Mainstay,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/word-search/ellis-word-search,Verified unique,1,R20C13-R20C17 (right),Factual rider profile,profiles/09-ellis.md,page-captures/page-009-ellis-profile.png,source-images/source-009-gary-ellis-gt-racing.png,Complete,No special exception identified in the supplied source set.
10,CUP,Award / concept,CUP — Published Word-Search Exception,,Not located,0,,Known exception,profiles/10-cup-known-exception.md,,,Known exception,"Preserve the published list exactly. Do not add CUP to the grid, remove it from the list, or invent a separate destination page. Link conceptually to NORA only."
