record_id,artifact_id,legacy_ids,title,source_title,volume,issue,issue_title,reading_order,record_type,category,accession_status,creator_association,edition_date,summary,provenance,claim_qualification,source_image,record_path,source_page,inventory_source_url,related_records
26.0133,26.0133,,BMX Plus! — Radical Rick Premier Issue,BMX Plus! Radical Rick Premier,1,1,The Printed World,1,publication,Magazine,accessioned,BMX Plus!,January 1980 issue (date visible on cover),A January 1980 issue of BMX Plus! identified in the Lititz BMX inventory as the Radical Rick premier issue. The cover date is directly visible in the supplied photograph; the premiere attribution is preserved as the collection’s published identification and remains open to bibliographic verification.,Current Lititz BMX holding; acquisition details were not supplied in the source record.,"The “premier issue” designation is an attributed inventory statement, not independently verified by the cover photograph.",source/artifacts/26-0133.png,records/26-0133/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,,
26.0056,26.0056,,Radical Rick: The Complete Episodes — Soft-Cover Proof 2 of 8,Radical Rick Complete Episodes Soft Cover Proof 2 of 8,1,1,The Printed World,2,publication-proof,Art / Publication proof,accessioned,Damian X. Fulton,2 of 8,"One of only eight full-color press proofs produced for the cover of Radical Rick: The Complete Episodes. This example, numbered 2 of 8, was used by creator Damian Fulton to verify color accuracy and final finish prior to publication. Printed on 12” x 18” heavy stock, it features a hand-crimped “Certified Radical” gold foil seal and is hand-signed and numbered by Fulton.",Recorded by Lititz BMX as an online acquisition; public product source retained in metadata.,"Edition, dimensions and production use are sourced from the Lititz BMX inventory and linked creator product record.",source/artifacts/26-0056.png,records/26-0056/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,https://radicalrickbmx.com/collections/artwork/products/press-proof-of-book-cover?variant=41497036554326,
26.0041,26.0041,,35-Year Supercross Damian Fulton Signed Print — 27 of 35,35 Year Supercross Damian Fulton Signed Print — Damian Fulton & Bill Ryan 27/35,1,1,The Printed World,3,limited-edition-print,Art,accessioned,Damian X. Fulton; Supercross BMX / Bill Ryan association,27 of 35,"This 35-Year Anniversary Supercross BMX print was created by Radical Rick artist Damian Fulton to celebrate the legacy of Supercross BMX, founded by Bill Ryan. The print is signed by Damian Fulton, connecting BMX racing history with the artwork and visual culture that helped shape the sport. Pieces like this highlight the collaboration between BMX innovators and artists who documented and celebrated the sport’s evolution.",Source recorded as Damian Fulton in the Lititz BMX inventory.,The exact signatures visible on the physical print should be verified directly before expanding the signature statement beyond the supplied title.,source/artifacts/26-0041.png,records/26-0041/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,https://radicalrickbmx.com/collections/artwork/products/rick-vs-rick-limited-edition-giclee-print,
26.0001,26.0001,26.00001,Dirty Fest 3 Original Watercolor Painting,DIRTY FEST 3 ORIGINAL PAINTING BY DAMIAN FULTON,1,2,From Damian’s Hand,4,original-artwork,Art,accessioned,Damian X. Fulton,Original one-of-one artwork,"“Dirty Fest 3” is an original watercolor painting by Radical Rick creator Damian Fulton, created for the Dirty Fest vintage BMX event. The artwork celebrates old-school BMX culture and features numerous legendary riders alongside the Radical Rick character. As a one-of-one original piece of BMX artwork, the painting represents the influence of Fulton’s illustrations on the visual culture of BMX history.",Source recorded as Damian Fulton in the Lititz BMX inventory.,People depicted in the artwork are not individually identified in this record unless documented by a supplied source.,source/artifacts/26-0001.png,records/26-0001/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,https://radicalrickbmx.com/collections/artwork/products/dirty-fest-3-original-painting?variant=42419167068246,
26.0042,26.0042,,Radical Rick 2025 New Year’s Drawing — Original 1 of 1,Radical Rick 2025 New Years Drawing Original 1 of 1,1,2,From Damian’s Hand,5,original-artwork,Art,accessioned,Damian X. Fulton,Original 1 of 1,"This original Radical Rick New Year’s 2025 drawing was created by BMX artist Damian Fulton, whose Radical Rick comic strip helped define the visual culture of BMX during the 1980s. Fulton traditionally creates a special illustration each year celebrating the arrival of the new year, featuring Radical Rick launching into the future with his signature BMX energy. This hand-signed piece is drawn in Fulton’s classic style and represents the continued legacy of Radical Rick within BMX art and culture.",Source recorded as Damian Fulton in the Lititz BMX inventory.,The annual-tradition description is sourced from the inventory record.,source/artifacts/26-0042.png,records/26-0042/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,https://radicalrickbmx.com/collections/artwork/products/new-years-2025-original-art?variant=42419155992662,
26.0057,26.0057,,Radical Rick and Bill Allen Signed Print by Damian Fulton — 57 of 100,Radical Rick and Bill Allen Signed Print by Damian Fulton 57 of 100,1,2,From Damian’s Hand,6,limited-edition-print,Art,accessioned,Damian X. Fulton; signed by Damian Fulton and Bill Allen (inventory attribution),57 of 100,"Limited edition print illustrated by Radical Rick creator Damian Fulton celebrating two of the most recognizable icons of the 1980s BMX era. The artwork unites Radical Rick with Bill Allen, internationally known for portraying Cru Jones in the 1986 BMX film RAD. Hand-signed by both Fulton and Allen, this piece is numbered 57 of 100 and bridges BMX comic culture with the cinematic legacy of Helltrack.",Source recorded as Bill Allen in the Lititz BMX inventory.,Signature attribution and edition number are preserved from the inventory record.,source/artifacts/26-0057.png,records/26-0057/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,https://www.instagram.com/p/DBHks0STHrL/,../../../../record-collection/collections/unboxing/records/unb-bill-allen-rad-mail-call/README.md
26.0072,26.0072,,Radical Rick Self-Portrait for NoWear BMX — 1 of 45,Radical Rick Self Portrait 1 of 45 for Nowhere BMX,1,2,From Damian’s Hand,7,original-artwork,Art,accessioned,Damian X. Fulton,One unique portrait in a group of 45,"Original hand-painted mini portrait of Radical Rick created by artist Damian Fulton for the 2024 NoWear BMX Compound fundraiser. Produced to commemorate the 45th anniversary of the character, each portrait is unique and part of a limited run of 45 pieces worldwide. The artwork is hand-signed by Fulton and features the embossed “Certified Radical” seal verifying authenticity.",Source recorded as Damian Fulton in the Lititz BMX inventory.,The original source title spells the organization “Nowhere BMX”; the inventory description uses “NoWear BMX Compound.” Both forms are preserved as a known wording discrepancy.,source/artifacts/26-0072.png,records/26-0072/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,https://radicalrickbmx.com/collections/artwork/products/45-charity-giveaway?variant=43898664976470,
26.0129,26.0129,,Hooligan BMX Radical Rick Figure,Hooligan BMX Radical Rick Figure,1,3,The Cast Steps Off the Page,8,custom-figure,Figure,accessioned,Hooligan BMX; Radical Rick created by Damian X. Fulton,Not supplied,"A packaged custom figure translating Radical Rick from the comic page into a physical collectible. The supplied artifact photograph preserves the figure, blister packaging, card art and visible creator branding as one object.",Current Lititz BMX holding; acquisition details were not supplied in the artifact entry.,"No edition size, production date or material description was supplied; those fields remain unverified.",source/artifacts/26-0129.png,records/26-0129/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,,../../../../record-collection/collections/unboxing/records/unb-hooligan-radical-rick-figure/README.md
26.0130,26.0130,,Hooligan BMX MX Mug Figure,Hooligan BMX MX Mug Figure,1,3,The Cast Steps Off the Page,9,custom-figure,Figure,accessioned,Hooligan BMX; character art associated with Damian X. Fulton,Not supplied,A custom MX Mug figure presented in illustrated Radical Rick packaging. The object expands the physical cast beyond Radical Rick himself and preserves a contemporary fan-made interpretation of the comic world.,Current Lititz BMX holding; acquisition details were not supplied in the artifact entry.,"No edition size, production date or material description was supplied.",source/artifacts/26-0130.png,records/26-0130/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,,../../../../record-collection/collections/unboxing/records/unb-hooligan-radical-rick-figure/README.md
26.0131,26.0131,,Hooligan BMX Skuzzer Switchblade Figure,Hooligan BMX Skuzzer Switchblade,1,3,The Cast Steps Off the Page,10,custom-figure,Figure,accessioned,Hooligan BMX; character art associated with Damian X. Fulton,Not supplied,"A packaged custom figure of Skuzzer Switchblade, preserving one of Radical Rick’s supporting characters as a contemporary physical collectible. The figure and illustrated card are documented together as the complete presentation.",Current Lititz BMX holding; acquisition details were not supplied in the artifact entry.,"No edition size, production date or material description was supplied.",source/artifacts/26-0131.png,records/26-0131/,https://sites.google.com/view/lititzbmxinventorylist/collections/the-radical-rick-collection,,../../../../record-collection/collections/unboxing/records/unb-hooligan-radical-rick-figure/README.md
