record_id,source_number,sequence_index,duration,normalized_title,published_title_visible,working_source_title,working_source_description,supplied_description,supplied_description_source,publication_date,visibility_at_evidence_capture,publication_state_at_evidence_capture,direct_short_url,direct_short_video_id,parent_video_url,parent_transcript_reference,published_frame_path,published_frame_sha256,publication_status_evidence,medical_or_sensitive_claim_qualification
GM-001,1,1,1:04,24-inch Daylight donated to the Hall of Fame,1. Harry Leary’s 24” Daylight bike has found a home @usabmxvideos Hall of Fame after being donated,Fireside BMX Chat w/ Greg Mathias - Harry Leary’s 24” Daylight BMX Bike as Hanging at the National BMX Hall of Fame (HoF),Harry Leary’s 24” Daylight BMX Bike as Hanging at the National BMX Hall of Fame (HoF) - Harry won the 2022 ROC1 on this bike.,Harry Leary’s 24” Daylight BMX Bike as Hanging at the National BMX Hall of Fame (HoF) - Harry won the 2022 ROC1 on this bike.,working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,0:48-1:50,source/evidence/published-frames-original/2026-07-22_15-40-37.png,a3696e040409f82718ffdc67826d9855cc1c5084002397e2bdfaf84d084e99eb,source/evidence/studio/2026-07-22_17-09-22.png,
GM-002,2,2,0:13,Harry Leary bobblehead and miniature HLT,2. Greg Mathias donated a Harry Leary bobblehead to the @usabmxvideos HOF - A HLT miniature too,Fireside BMX Chat w/ Greg Mathias - A Harry Leary Bobblehead figure was donated to the HoF,A Harry Leary Bobblehead figure was also donated to the National BMX Hall of Fame (HoF) with a miniature Harry Leary Turbo (HLT) replica miniature frame.,A Harry Leary Bobblehead figure was also donated to the National BMX Hall of Fame (HoF) with a miniature Harry Leary Turbo (HLT) replica miniature frame.,working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,1:54-2:10,source/evidence/published-frames-original/2026-07-22_15-52-45.png,adbb207dc8f51fa5892a1081f4080c25484b320960ec933600ef01c23ab4ea0c,source/evidence/studio/2026-07-22_17-09-22.png,
GM-003,3,3,0:38,Greg and gOrk Hall of Fame donations,3. Greg Mathias worked with gOrk to make donations to the @usabmxvideos HOF - They go way back,Fireside BMX Chat w/ Greg Mathias - He worked with gOrk to make donations to the HoF,Greg Mathias worked with Gork to make donations to the National BMX Hall of Fame (HoF) - making a donation is easy and they take stuff on loan or donation.,Greg Mathias worked with Gork to make donations to the National BMX Hall of Fame (HoF) - making a donation is easy and they take stuff on loan or donation.,working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,2:10-2:38,source/evidence/published-frames-original/2026-07-22_15-57-49.png,e752b1f3b9f73520f80843662547c71af388f6f5ac620a9152920d673a602cbd,source/evidence/studio/2026-07-22_17-09-22.png,
GM-004,4,4,0:29,Last HLT 4 Daylight run-over story,4. Greg Mathias shares the story of Harry Leary’s Daylight bike - the last HLT 4 - ran over - how?,Fireside BMX Chat w/ Greg Mathias - The story of Harry Leary’s 20” Daylight bike… The last HL Turbo 4,The story of Harry Leary’s 20” Daylight bike… The last HL Turbo 4 - Getting run over by a car by some kids - so he said,The story of Harry Leary’s 20” Daylight bike… The last HL Turbo 4 - Getting run over by a car by some kids - so he said,working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,3:14-3:44,source/evidence/published-frames-original/2026-07-22_16-00-38.png,f61acd0da5ecc88eef23ec828f444df805658dedff070440e3c3d0dcca23b161,source/evidence/studio/2026-07-22_17-09-22.png,
GM-005,5,5,0:44,Loaner replacement Daylight 20-inch,5. Harry Leary received a loaner replacement Daylight 20” BMX - the owner’s daughter’s - “The best”,Fireside BMX Chat w/ Greg Mathias - Harry Leary received a loaner replacement Daylight 20” bike,Harry Leary received a loaner replacement Daylight 20” bike - Harry Leary used to always say “Those are the best handling bikes I ever rode.”,Harry Leary received a loaner replacement Daylight 20” bike - Harry Leary used to always say “Those are the best handling bikes I ever rode.”,working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,3:51-4:24,source/evidence/published-frames-original/2026-07-22_16-03-09.png,433f29411b47db8c64eff47125dc2abb90df6995c9330e5e59a958b15fc9a97f,source/evidence/studio/2026-07-22_17-09-22.png,
GM-006,6,6,0:26,Mushroom decals and Say No campaign,6. Harry Leary’s loaner had mushrooms enchanted forest but he was a part of a “Say No” campaign,Fireside BMX Chat w/ Greg Mathias - Harry Leary was a part of a famous say no to drugs signature campaign in the 1980’s,Harry Leary’s loaner Daylight 20” BMX bike had mushroom decals on it - It was pointed out that Harry Leary was a part of a famous say no to drugs signature campaign in the 1980’s.,Harry Leary’s loaner Daylight 20” BMX bike had mushroom decals on it - It was pointed out that Harry Leary was a part of a famous say no to drugs signature campaign in the 1980’s.,working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,4:34-4:58,source/evidence/published-frames-original/2026-07-22_16-10-07.png,08d3d215dab5a067ce945057aa553bc96d53411895f267e4e6af84a194f05ac3,source/evidence/studio/2026-07-22_17-09-22.png,
GM-007,7,7,1:07,Last practice with Harry at Black Mountain,7. Greg Mathias and Harry Leary trained together until Greg last saw Harry at practice on Wednesday,Fireside BMX Chat w/ Greg Mathias - He Last Saw Harry Leary at Practice at Black Mountain BMX,"Greg Mathias last saw Harry Leary at practice at Black Mountain BMX - a Wednesday night. Greg couldn’t get a hold of Harry for a couple of days. Then, Harry’s sister and Mom started to question Greg.","Greg Mathias last saw Harry Leary at practice at Black Mountain BMX - a Wednesday night. Greg couldn’t get a hold of Harry for a couple of days. Then, Harry’s sister and Mom started to question Greg.",working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,4:58-5:59,source/evidence/published-frames-original/2026-07-22_16-11-46.png,d7e2232ec95af7ccf314de2086084af8894462c145626ff1aeb53c756e6f3400,source/evidence/studio/2026-07-22_17-09-22.png,Final-contact timeline is Greg Mathias’s recollection.
GM-008,8,8,0:36,Greg did not know Harry's prior life,8. Greg Mathias did not know anything about Harry Leary’s “prior” life - other than what he saw in…,Fireside BMX Chat w/ Greg Mathias - did not know anything about Harry Leary’s “prior” life,"Greg Mathias did not know anything about Harry Leary’s “prior” life other than what he saw in the magazines. He didn’t know Harry had a sister, daughter, or son. Greg believes he was Harry’s safezone or sounding board, and Greg like to help Harry put things into perspective.","Greg Mathias did not know anything about Harry Leary’s “prior” life other than what he saw in the magazines. He didn’t know Harry had a sister, daughter, or son. Greg believes he was Harry’s safezone or sounding board, and Greg like to help Harry put things into perspective.",working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,6:05-6:31,source/evidence/published-frames-original/2026-07-22_16-13-16.png,2a107c7555a84934e9e6651e56029a76bb28d1d3eca3985846846b0ad0ab5215,source/evidence/studio/2026-07-22_17-09-22.png,
GM-009,9,9,0:55,Concussions and suspected CTE discussion,9. Greg and Harry Leary’s sister recognize that Harry had many concussions and likely had CTE,Fireside BMX Chat w/ Greg Mathias - Harry Leary’s friends and family believe that he had Chronic Traumatic Encephalopathy,Harry Leary’s friends and family believe that he had Chronic Traumatic Encephalopathy (CTE) from the many head injuries he received as a child and adult. One result was Harry pushing away the people that he loved.,Harry Leary’s friends and family believe that he had Chronic Traumatic Encephalopathy (CTE) from the many head injuries he received as a child and adult. One result was Harry pushing away the people that he loved.,working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,6:39-7:29,source/evidence/published-frames-original/2026-07-22_16-15-27.png,513e758147a79ab0a16f5df642add56ccdc6cf26d2d7df51d64adb85060c095d,source/evidence/studio/2026-07-22_17-09-22.png,CTE is discussed as a belief held by friends/family; no independent diagnosis is supplied.
GM-011,11,10,0:36,Harry loved to drive; found outside Phoenix,11. Harry Leary loved to drive. He went driving and they found him about 60 miles outside of Phoenix,Fireside BMX Chat w/ Greg Mathias - went driving and they found his body about 60 miles from Phoenix.,Harry Leary loved to drive. He went driving and they found his body about 60 miles from Phoenix. He died of heatstroke. Greg believes that Harry died Wednesday night or Thursday morning but wasn’t found until Saturday.,Harry Leary loved to drive. He went driving and they found his body about 60 miles from Phoenix. He died of heatstroke. Greg believes that Harry died Wednesday night or Thursday morning but wasn’t found until Saturday.,working-source PDF,2025-11-10,public,published,,,https://www.youtube.com/watch?v=EUTzVetaoLc,7:53-8:21,source/evidence/published-frames-original/2026-07-22_16-17-31.png,ef06a63bc358c6f13ac3d1de0f2efa16b88b14fc9350246efe7255b0ef7fb16a,source/evidence/studio/2026-07-22_17-09-22.png,"Cause and timing of death are preserved as interview/publication claims, not an independent medical or official finding."
