record_id,published_title,publication_date,duration,visibility,publication_state,views_at_capture,comments_at_capture,studio_evidence,shared_visual,description_file,transcript_file,parent_alignment
GH-001,1: Greg Hil bid your garage floor?  -Sign Me Up!- A legend stops by and shares more than we expected,2025-05-23,0:36,Public,Published,1343,0,source/evidence/youtube-studio-gh-001-006.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-001/published-description.md,records/GH-001/supplied-transcript.txt,1:22–1:52
GH-002,2: Have you ever wondered how BMX legend Greg Hill does what he does? His guarantee - Learn more...,2025-05-23,0:36,Public,Published,701,0,source/evidence/youtube-studio-gh-001-006.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-002/published-description.md,records/GH-002/supplied-transcript.txt,3:18–3:50
GH-003,3: BMX legend Greg Hill talks about posting pictures of his work on Facebook - No burrito pics here,2025-05-23,0:36,Public,Published,491,0,source/evidence/youtube-studio-gh-001-006.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-003/published-description.md,records/GH-003/supplied-transcript.txt,0:47–1:13
GH-004,4: BMX legend Greg Hill answers questions about a Harry Leary's DIRTWERX rebuild in progress,2025-05-26,0:36,Public,Published,90,0,source/evidence/youtube-studio-gh-001-006.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-004/published-description.md,records/GH-004/supplied-transcript.txt,5:10–5:33
GH-005,"5: Greg Hill learns that he inspired Harry Leary's signature BMX Jump - ""The Leary"" - First Heard!",2025-05-26,0:36,Public,Published,24,0,source/evidence/youtube-studio-gh-001-006.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-005/published-description.md,records/GH-005/supplied-transcript.txt,8:16–8:56
GH-006,6: Greg Hill shares about a food fight with team Diamond Back -Down Interstate 40- Harry Leary drove,2025-05-26,0:36,Public,Published,29,0,source/evidence/youtube-studio-gh-001-006.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-006/published-description.md,records/GH-006/supplied-transcript.txt,10:54–11:24
GH-007,7: BMX legend Greg Hill talks about how he met Harry Leary - Greg started at WSA and watched him,2025-05-26,0:36,Public,Published,39,0,source/evidence/youtube-studio-gh-006-012.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-007/published-description.md,records/GH-007/supplied-transcript.txt,5:56–6:28
GH-008,"8: Greg Hill shares “You Have to Be All In.""-""You can't do two things and win a title."" - #champion",2025-05-26,0:36,Public,Published,17,0,source/evidence/youtube-studio-gh-006-012.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-008/published-description.md,records/GH-008/supplied-transcript-status.md,8:03–8:16
GH-009,"9: Greg Hill shares of Clint Miller, ""Stuart"", and Harry Leary all doing gates as a kid-Dad on gates",2025-05-26,0:36,Public,Published,67,0,source/evidence/youtube-studio-gh-006-012.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-009/published-description.md,records/GH-009/supplied-transcript.txt,6:20–7:00
GH-010,10: Did Greg Hill run gates with his wife when they were kids? Curious if you know their 1st race...,2025-05-26,0:36,Public,Published,304,0,source/evidence/youtube-studio-gh-006-012.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-010/published-description.md,records/GH-010/supplied-transcript.txt,6:52–7:28
GH-011,"11: Greg Hill was asked if Harry Leary was boastful after getting a named jump - ""No."" - ""Never""",2025-05-26,0:36,Public,Published,91,0,source/evidence/youtube-studio-gh-006-012.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-011/published-description.md,records/GH-011/supplied-transcript.txt,9:04–9:19
GH-012,12: Greg Hill shared -Pete Loncarevich Kicks My Tire in 1985 NBL Grands- 2 months later-at ABA Grand,2025-05-26,0:36,Public,Published,113,0,source/evidence/youtube-studio-gh-006-012.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-012/published-description.md,records/GH-012/supplied-transcript.txt,12:49–13:12
GH-013,13: Greg Hil only focused on what he was doing - if someone was in front of him- it wasn't personal,2025-05-28,0:36,Public,Published,18,0,source/evidence/youtube-studio-gh-013-019.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-013/published-description.md,records/GH-013/supplied-transcript.txt,13:12–13:36
GH-014,"14: Greg Hill reflects on their ""I never had any beef with Harry at all, really.""",2025-05-28,0:36,Public,Published,22,0,source/evidence/youtube-studio-gh-013-019.png,source/visual/shared-published-frame-cleaner-capture.png,records/GH-014/published-description.md,records/GH-014/supplied-transcript.txt,13:21–13:36
