record_id,published_number,published_title,archival_display_title,short_url,youtube_video_id,publication_date,duration,visibility,publication_state,views_at_2026_07_22,comments_at_2026_07_22,thematic_group,transcript_status,parent_timestamp_start,parent_timestamp_end,shared_visual,claim_status
GH-001,1,1: Greg Hil bid your garage floor?  -Sign Me Up!- A legend stops by and shares more than we expected,Greg Hill Bids the Lititz BMX Garage Floor — A Legend Stops By,https://youtube.com/shorts/AyE6KQeX8KY,AyE6KQeX8KY,2025-05-23,0:36,Public,Published,1343,0,surface-preparation,supplied partial transcript excerpt; ending incomplete,1:22,1:52,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-002,2,2: Have you ever wondered how BMX legend Greg Hill does what he does? His guarantee - Learn more...,Greg Hill Explains His Flooring Process and Four-Year Warranty,https://youtube.com/shorts/fIr5Doa4Dbg,fIr5Doa4Dbg,2025-05-23,0:36,Public,Published,701,0,surface-preparation,supplied transcript excerpt,3:18,3:50,source/visual/shared-published-frame-cleaner-capture.png,attributed business description and opinion
GH-003,3,3: BMX legend Greg Hill talks about posting pictures of his work on Facebook - No burrito pics here,Greg Hill Uses Facebook as a Flooring Portfolio — Not a Burrito Feed,https://youtube.com/shorts/-y-WPsU9Ft8,-y-WPsU9Ft8,2025-05-23,0:36,Public,Published,491,0,surface-preparation,supplied partial transcript excerpt; ending incomplete,0:47,1:13,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-004,4,4: BMX legend Greg Hill answers questions about a Harry Leary's DIRTWERX rebuild in progress,Greg Hill Examines a Harry Leary DIRTWERX Rebuild in Progress,https://youtube.com/shorts/cc2CuiFGqF8,cc2CuiFGqF8,2025-05-26,0:36,Public,Published,90,0,heritage-finish,supplied transcript excerpt,5:10,5:33,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-005,5,"5: Greg Hill learns that he inspired Harry Leary's signature BMX Jump - ""The Leary"" - First Heard!","Did Greg Hill Inspire Harry Leary’s Signature Jump, “The Leary”?",https://youtube.com/shorts/Ep05csao8Kg,Ep05csao8Kg,2025-05-26,0:36,Public,Published,24,0,heritage-finish,supplied partial transcript excerpt; ending incomplete,8:16,8:56,source/visual/shared-published-frame-cleaner-capture.png,attributed and unverified origin account
GH-006,6,6: Greg Hill shares about a food fight with team Diamond Back -Down Interstate 40- Harry Leary drove,Greg Hill Remembers a Diamond Back Food Fight on Interstate 40,https://youtube.com/shorts/TPtagvRnPtk,TPtagvRnPtk,2025-05-26,0:36,Public,Published,29,0,heritage-finish,supplied partial transcript excerpt; beginning omitted and one phrase unclear,10:54,11:24,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-007,7,7: BMX legend Greg Hill talks about how he met Harry Leary - Greg started at WSA and watched him,How Greg Hill Came to Know Harry Leary at WSA,https://youtube.com/shorts/94yXrxSQyqI,94yXrxSQyqI,2025-05-26,0:36,Public,Published,39,0,heritage-finish,supplied partial transcript excerpt; ending incomplete,5:56,6:28,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-008,8,"8: Greg Hill shares “You Have to Be All In.""-""You can't do two things and win a title."" - #champion",Greg Hill on Championship Commitment — “You Have to Be All In”,https://youtube.com/shorts/VfYcWxgx55w,VfYcWxgx55w,2025-05-26,0:36,Public,Published,17,0,race-grade-performance,no Short-level transcript supplied; parent transcript passage aligned,8:03,8:16,source/visual/shared-published-frame-cleaner-capture.png,attributed statement aligned to parent transcript
GH-009,9,"9: Greg Hill shares of Clint Miller, ""Stuart"", and Harry Leary all doing gates as a kid-Dad on gates","Harry Leary, Clint Miller, and Stu Thomsen Practice Gates at Greg Hill’s Home",https://youtube.com/shorts/9L4G94bdnuc,9L4G94bdnuc,2025-05-26,0:36,Public,Published,67,0,race-grade-performance,supplied partial transcript excerpt; beginning omitted,6:20,7:00,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-010,10,10: Did Greg Hill run gates with his wife when they were kids? Curious if you know their 1st race...,Greg Hill on Childhood Gate Practice and His Future Wife,https://youtube.com/shorts/j2FXBdGDkB0,j2FXBdGDkB0,2025-05-26,0:36,Public,Published,304,0,race-grade-performance,supplied partial transcript excerpt; ending incomplete,6:52,7:28,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
