record_id,collection,dossier_type,title,submitted_image,original_machine_transcript,url_status
unb-hooligan-radical-rick-figure,Unboxing,Recording Dossier,Custom Hooligan BMX Radical Rick 1:24 Figure,2026-07-20_22-52-56.png,,individual canonical URL not supplied
unb-torker-cathy-hanna-bob-haro,Unboxing,Recording Dossier,Torker / Cathy Hanna / Bob Haro Surprise Unboxing,2026-07-20_22-55-00.png,,individual canonical URL not supplied
unb-harry-leary-legacy-linda,Unboxing,Recording Dossier,Harry Leary’s Personal BMX Legacy — Sent by Linda Leary Taylor,2026-07-20_23-36-38.png,Pasted text(22).txt,individual canonical URL not supplied
unb-dirtwerx-pr12-justin-dumas,Unboxing,Recording Dossier,Harry Leary DIRTWERX PR12 Prototype from Justin Dumas / Livermore Boss,2026-07-20_23-44-21.png,,individual canonical URL not supplied
unb-possible-early-radical-rick-art,Unboxing,Recording Dossier,BMX History Found? Possible Early Radical Rick Artwork with Brandon Hetrick,2026-07-20_23-50-04.png,,individual canonical URL not supplied
unb-pages-intended-for-turbo,Unboxing,Recording Dossier,Opening the Pages Intended for Turbo — An Unboxing,2026-07-20_23-56-16.png,,individual canonical URL not supplied
unb-reynolds-racing,Unboxing,Recording Dossier,Reynolds Racing Unboxing,2026-07-21_00-29-37.png,,individual canonical URL not supplied
unb-bill-allen-rad-mail-call,Unboxing,Recording Dossier,Bill Allen / RAD Movie Mail Call,2026-07-21_00-32-35.png,,individual canonical URL not supplied
unb-radical-rick-sticker-pack,Unboxing,Recording Dossier,Radical Rick Sticker-Pack Mystery Envelope,2026-07-21_00-35-22.png,,individual canonical URL not supplied
ptc-warwick-public-comment-rehearsal,Pump Track Chat,Presentation Dossier,Warwick Township Pump Track Public-Comment Rehearsal / Reconstruction,2026-07-21_00-41-38.png,,individual canonical URL not supplied
ptc-warwick-follow-up,Pump Track Chat,Interview Dossier,Update! Pump Track Chat Podcast — Warwick Township Follow-Up,2026-07-21_00-49-21.png,Pasted text(23).txt,individual canonical URL not supplied
ptc-lititz-past-future,Pump Track Chat,Interview Dossier,The Past — Our Hope for the Future of Lititz,2026-07-21_00-54-06.png,Pasted text(24).txt,individual canonical URL not supplied
ptc-brandon-hetrick-pump-track-builds,Pump Track Chat,Interview Dossier,Pump Track Builds with Brandon Hetrick,2026-07-21_01-04-06.png,Pasted text(25).txt,individual canonical URL not supplied
fbc-damian-fulton-samaritans-purse,Fireside BMX Chat,Recording Dossier,Damian X. Fulton / Radical Rick / Samaritan’s Purse Campaign Recording,2026-07-21_00-45-23.png,,canonical Short URL recovered from prior Lititz BMX work
