path,bytes,sha256
.gitattributes,85,87604e417c0b206a0ac29d0a32509417a37c5a6307bc633188ff23efa5804d01
.gitignore,156,91c21f8afab1af82fffff82ae43fadcb5d9d6b18a2e3b5c9bad62aaa5d74ddd1
ARCHIVAL_STANDARD.md,7683,ca4f73bad30d9de8eaf67bf7f1a35c1c7c5959701756c7c879e3f48e6cdcebd6
CHANGELOG.md,5587,c5ed42518f06030a07b66c8e77109621e036228a78dfd5a6ce7ef767c9d39dfd
CITATION.cff,384,e91d20755b194402368fa63fbb78d2db4309519eb99a48b0a8d2b237875a4930
COLLECTION_INDEX.md,7713,13c030dbaf0c11d166db94c636011c5570c8f8ad3922bec78e9b27287f3ad995
CONTRIBUTING.md,936,02cdc13fc67c33aab5f60c276613d0bd9ed88b2026a738446a82696df1ca20f4
README.md,8878,434d0182c7580f83828079a688997371039af2a5ba085547cbf965f6233467eb
RIGHTS.md,804,5b0d307e0f84094ea097bc5dee06b74b1539e25e87d3d0d937fe161e0d074d69
SECURITY_AND_PRIVACY.md,1361,f7b4f673f1cc83b1f5aa407cf5a3bcc984518686c26fe996d44b5671f1488b7f
UPLOAD-INSTRUCTIONS.md,1917,5813636f7d9c7412df90445b2594c3d05fa24522cd30d6c2c070100529019da2
assets/record-collection-banner.png,169460,9b3f16ab8fcba56930dd3387ad7b33b668cacc1d83ab13846e07b2f30bf729f7
collections/README.md,956,96dba69d4853ce3c865d1d754ec9bd044573768be496ea953d944d7bc46b9e9a
collections/fireside-bmx-chat/README.md,7804,e933bc2ed36ef274dc1c668f38c0a056834fe302098ec12038cb196dc3f811a7
collections/fireside-bmx-chat/assets/category-cover.png,725071,98e43ad714331e9ca57811d6d5d35e44a51c643d0a2c748e2dd1a529656da028
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/CITATION.cff,463,333a90efaa315e51fa3b6f7bd883922dffbf86f84e1bc24405025de1ae1ee281
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/README.md,2658,ab0c8aea433feb7569aba6a1532eac9f26ba3b75cf9ed061e7ba5885424073c8
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/assets/navigation-thumbnail.png,423118,e4f01604ad61f21cbb9203d2d7f2243c44b947ae37d41d4be7857553868649ac
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/assets/title-card.png,507848,78ceebb1638d9055131996c29479077eb83169135376f9de7dcf65ff213d9384
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/docs/chapter-index.md,1010,51fd3f64b54913f01e9ce2d566dbaebdcf1e77358f71dbaa49adb596a865eac3
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/docs/curator-notes.md,561,e2aa2ffc7830a6d5427223cb04dea8354f7bf4e3cfdde2cd9d4775a050c8983c
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/docs/dossier-contents.md,932,e48de5efaddb4e31389edea1eb19722fb2ba9f2197cfde98f50b73a93ad94d0c
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/docs/legacy-starter-package/README.md,453,f28ff794331327cf9bfa0ff14f5b4dcd02ee5b5d5691372f09c7572d25a5ac33
collections/fireside-bmx-chat/records/fbc-001-damian-x-fulton/docs/legacy-starter-package/editorial-notes-v0.md,760,1b3cee86b8138657ee56c1d94d2271d03589e37f0aa47ba7eb0e9919fcb66e1c
